PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Amritsar Bypass Improvement (NH-1) Project,1146,Substantial Expansion,2300,Completed,"Engineering, Procurement & Construction",Apr-19,Punjab,15-May-15,21/11/17,2300,2730.6,-430.6
Amritsar-Bhatinda (NH-15) Four Laning Highway Project,973,Substantial Expansion,28930,Completed,Design Build Finance Operate Transfer,May-18,Punjab,01-May-13,13/05/18,28930,18990,9940
Amritsar-Bhikhiwind-Khemkaran Two Laning Road project,1761,Substantial Expansion,1499,No Information,"Engineering, Procurement & Construction",,Punjab,01-Sep-07,19/03/18,1499,1499,0
Amritsar-Ghoman-Tanda-Una (NH-503A) Four Lane Highway Project,1765,Substantial Expansion,17000,Under Implementation,Hybrid Annuity,,Punjab,05-Feb-19,03/01/22,17000,17000,0
Amritsar-Jodhpur Two-Laning Highway Project,688,New Unit,80000,No Information,,,Punjab,18-Nov-09,18/11/09,80000,80000,0
Amritsar-Wagha Border (NH-1) Highway Project,464,New Unit,2149,Completed,Build Operate Transfer,Oct-10,Punjab,30-Jun-08,31/10/10,2149,2058.8,90.2
Anantpur-Kurnool-Amaravati Four/Six Access Controlled Expressway Project,1141,Substantial Expansion,200000,Implementation Stalled,,,Andhra Pradesh,15-Mar-15,18/06/19,200000,276350,-76350
Anarbansalea village to Sagrampur village Four/Six Lane Greenfield Access Control Expressway Project (Package-7 of Varanasi-Kolkata Expressway),1982,New Unit,12483.7,Under Implementation,Hybrid Annuity,,Bihar,01-Nov-21,31/03/23,12483.7,12483.7,0
Andhra NH-5 Project,68,Renovation & Modernisation,3353.5,No Information,,,Andhra Pradesh,31-Mar-98,01/10/01,3353.5,1716,1637.5
Andhra NH-9 Project,69,Renovation & Modernisation,673.2,No Information,,,Andhra Pradesh,31-Mar-95,01/12/99,673.2,673.2,0
Angamaly-Kundanoor (Ernakulam Bypass) (NH-544&46) Four Lane Bypass Project,1786,New Unit,56480,Announced,,Mar-27,Kerala,01-Sep-16,17/02/18,56480,56480,0
Angul-Sambalpur (NH-42) Highway Project,820,Substantial Expansion,24915.3,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Odisha,25-Oct-10,29/06/16,24915.3,12408.3,12507
Ankaleshwar-Netrang Highway Project,1302,New Unit,7040,No Information,,,Gujarat,13-May-17,24/08/18,7040,7040,0
Annojiguda-Raigiri Four Lane Road Widening Project,853,Substantial Expansion,3000,No Information,Build Operate Transfer,,Telangana,01-Jul-10,01/07/10,3000,3000,0
Aramgharh-Shamshabad Six Laning Highway project,1330,Substantial Expansion,2830,Under Implementation,"Engineering, Procurement & Construction",,Telangana,28-Jul-15,14/11/22,2830,2900,-70
Arapalayam-Viraganoor (Vaigai River) Two Lane Road Widening Project,1787,Substantial Expansion,2860,No Information,,,Tamil Nadu,06-Dec-18,20/08/19,2860,2860,0
Armur-(K)adloor-Yellareddy (NH-7) Four-Laning Highway Project,483,Substantial Expansion,6350,Completed,,Jun-13,Andhra Pradesh,12-Aug-08,31/12/12,6350,4905,1445
Armur-Kalkallu Highway Project,320,New Unit,4900,No Information,Build Operate Transfer Annuity,,Telangana,01-Dec-03,01/07/08,4900,4900,0
Aroor to Thuravoor Thekku Six Lane (NH-66) Elevated Corridor Project,2074,Substantial Expansion,29270,Under Implementation,"Engineering, Procurement & Construction",,Kerala,01-Jul-20,15/12/22,29270,19938.8,9331.2
Arrah-Pararia Four Lane Highway (NH-319) Project (Package 1 of Mohania-Arrah) (Bharatmala),1838,Substantial Expansion,8860,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Bihar,01-Jul-11,22/09/20,8860,6904.8,1955.2
Ashok Square-Agrasen Square Flyover Project,1273,New Unit,2130,No Information,,,Maharashtra,23-Mar-17,23/03/17,2130,2130,0
Ashram-Badarpur Highway Upgradation Project,372,Renovation & Modernisation,265,No Information,,,Assam,01-Mar-04,01/03/04,265,265,0
Assam/WB Border to Gairkata (WB-1) Highway Project,285,New Unit,3000,Completed,,Mar-13,West Bengal,01-Dec-03,31/12/12,3000,2218.2,781.8
Atmakur-Dornala (NH-340C) Two Lane Highway Project (Kurnool-Dornala),1490,Substantial Expansion,1850.5,Announced,"Engineering, Procurement & Construction",,Andhra Pradesh,01-Apr-15,27/04/18,1850.5,1850.5,0
Atul-Kajali (NH-8) Highway Project,52,Substantial Expansion,1745.9,Completed,,Feb-04,Gujarat,15-Mar-00,01/09/02,1745.9,1745.9,0
Aurad-Bidar (NH-161A) Two Lane Highway Project,1656,Substantial Expansion,4241.6,Under Implementation,"Engineering, Procurement & Construction",Aug-23,Karnataka,29-Jan-19,19/12/20,4241.6,8931.6,-4690
Aurangabad-Barwa-Adda(Aurangabad-Barachatti) Highway Project,157,Substantial Expansion,3204.2,Completed,"Engineering, Procurement & Construction",Jul-07,Bihar,01-Mar-01,01/01/02,3204.2,2400,804.2
Aurangabad-Bihar/Jharkhand Border (Chordaha) (NH-2) Six Laning Highway Project (Package-I),897,Substantial Expansion,15160.9,Under Implementation,"Engineering, Procurement & Construction",,Bihar,01-Jun-11,31/12/19,15160.9,10055.2,5105.7
Aurangabad-Paithan (NH-752E) Four Lane Highway Project,1866,Substantial Expansion,8900,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Jun-08,24/08/18,8900,1790,7110
Aurangabad-Telwadi (NH-52) Four-Laning Highway Project,1006,Substantial Expansion,30620,Completed,"Engineering, Procurement & Construction",Jan-22,Maharashtra,15-Jul-10,31/01/22,30620,12521.9,18098.1
Aut-Takoli (Tunnel) (NH-21) Highway Project (Package-V of Nerchowk-Kullu stretch),1047,Substantial Expansion,5561.1,Under Implementation,Hybrid Annuity,,Himachal Pradesh,15-Nov-14,09/12/14,5561.1,5561.1,0
Avathi village-Nandi Hills cross & Devanhalli-Meenukunte (NS-10) Six Lane Project,957,New Unit,258.2,Completed,"Engineering, Procurement & Construction",Jul-01,Karnataka,01-Jan-00,15/01/00,258.2,258.2,0
Ayodhya Four Lane Ring Road project,1662,New Unit,50000,Under Implementation,,Dec-25,Uttar Pradesh,09-Aug-17,16/12/22,50000,12890,37110
Ayodhya Four/Six Lane Bypass Project,1929,Substantial Expansion,49000,Under Implementation,Hybrid Annuity,Dec-23,Uttar Pradesh,01-Jul-21,31/01/23,49000,57038.2,-8038.2
Ayodhya-Faizabad-Sultanpur-Mohanganj-Jethwara-Kanhaiyapur-Trilokpur-Shringverpur-Kokhraj-Kaushambi-Chitrakoot Two/Four Lane Highway Project (Ram Van Gaman Marg),1664,New Unit,45500,Under Implementation,,Dec-24,Uttar Pradesh,01-Aug-01,20/10/22,45500,20200,25300
Ayodhya-Gorakhpur (Lucknow-Muzaffarpur) Highway Project,270,Substantial Expansion,10760,Completed,"Engineering, Procurement & Construction",Dec-11,Uttar Pradesh,01-Sep-03,28/02/11,10760,6710,4050
Ayodhya-Lucknow (LMNHP) Highway Project,513,Substantial Expansion,10450,Completed,"Engineering, Procurement & Construction",Sep-11,Uttar Pradesh,01-Dec-03,28/02/11,10450,2120,8330
Ayodhya-Varanasi (NH-135A) Four Lane Highway Project,1663,Substantial Expansion,30000,Under Implementation,,,Uttar Pradesh,01-Jun-14,05/02/21,30000,75000,-45000
Azhikkal Port-NH-Bypass Port Road Connectivity Project,1476,New Unit,610,Under Implementation,,,Kerala,01-Apr-16,03/06/16,610,610,0
Azhikkal-Puthuvalappu Road Project (Port Connectivity) (Bharatmala),1748,New Unit,3500,Announced,,Feb-24,Kerala,01-Apr-18,07/09/21,3500,1323.9,2176.1
Azhiyur-Vengalam (NH-66) Six Lane Highway Project,1880,Substantial Expansion,37110,Under Implementation,Hybrid Annuity,,Kerala,01-Apr-19,15/12/22,37110,18381,18729
BC Road-Punjalkatte (NH-234) Road Project (Mangalore-Villuppuram Section),1967,Substantial Expansion,1597,Completed,,Feb-22,Karnataka,01-Jan-18,28/02/22,1597,980,617
BRT Tiger Reserve-Bangalore (NH-209) Two/Four-Laning Highway Project,1172,Substantial Expansion,12535.1,Under Implementation,Hybrid Annuity,,Karnataka,15-Jan-16,06/02/20,12535.1,10080,2455.1
Badarpur Elevated Highway Project,405,New Unit,3400,Completed,Build Operate Transfer,Nov-10,NCT of Delhi,26-Mar-05,01/04/09,3400,2700,700
Baghpat-Ghaziabad Six Lane Expressway Project (Package 2 of Eastern Peripheral Expressway),1122,New Unit,7857.8,Completed,"Engineering, Procurement & Construction",May-18,Uttar Pradesh,31-Jan-95,29/10/14,7857.8,7857.8,0
Bahalgarh Chowk (NH-1) Flyover Project,1001,New Unit,779.7,Completed,"Engineering, Procurement & Construction",Nov-16,Haryana,21-Jan-08,31/05/14,779.7,779.7,0
Baharagora-Sambalpur (NH-6) Four Lane Road project,816,Substantial Expansion,36364.3,No Information,Design Build Finance Operate Transfer,,Jharkhand,25-Oct-10,09/01/13,36364.3,35923.8,440.5
Baharagora-Singhara (NH-6 & 49) Four Laning Highway Project,1064,New Unit,12829.4,Completed,"Engineering, Procurement & Construction",Apr-22,Jharkhand,01-Sep-14,06/07/15,12829.4,9087.3,3742.1
Bahraich-Rupaidiha (NH-28C) Highway Widening Project,1017,Substantial Expansion,3970.4,Completed,"Engineering, Procurement & Construction",Aug-18,Uttar Pradesh,21-Oct-09,31/08/17,3970.4,2952.2,1018.2
Bakaria-Gogunda NH-76 Highway Project,644,New Unit,4570,Completed,"Engineering, Procurement & Construction",Mar-09,Uttar Pradesh,31-Dec-03,01/01/09,4570,4570,0
Bakhtiyarpur-Mokama (NH-31) Four Laning Highway Project (Package 1 of Khagaria-Bakhtiarpur Highway),478,Substantial Expansion,8370,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Bihar,12-Aug-08,25/06/22,8370,17038.2,-8668.2
Balance work of Four Laning of Nagpur - Hyderbad Section of NH-7 (NS-62) (Package-II) (Kelapur-Pimpalkhatti) Project,1180,Substantial Expansion,2000,Completed,"Engineering, Procurement & Construction",Oct-18,Telangana,01-Jan-16,25/10/18,2000,1976.9,23.1
Balance work of Four Laning of Nagpur-Hyderabad Section of NH-7 (NS-60) (Package-I) Project (Wadner-Devdhari Highway),1179,Substantial Expansion,2440,Completed,"Engineering, Procurement & Construction",Jun-19,Maharashtra,01-Jan-16,31/03/16,2440,2440,0
Balance works on Hapur Bypass-Moradabad section (NH-24) Road Project,1255,New Unit,416.4,Completed,"Engineering, Procurement & Construction",Jun-18,Uttar Pradesh,30-Sep-16,29/12/16,416.4,416.4,0
Balasore-Bhadrak (NH-5) Highway Project,136,Substantial Expansion,2410,Completed,,Oct-13,Odisha,30-Apr-00,01/10/09,2410,2520,-110
Balasore-Chandikhole (Bridges section OR-V) Highway Project,138,New Unit,1550,Completed,"Engineering, Procurement & Construction",Apr-08,Odisha,01-Mar-01,01/06/01,1550,1550,0
Balbhadrapur (Tal Dasraha)-Bela Nawada Four Lane Access Controlled Greenfield Highway (NH-119D) Project (Package-IV of Amas-Darbhanga Expressway),1952,New Unit,21857.5,Under Implementation,Hybrid Annuity,Oct-24,Bihar,01-Dec-19,06/04/22,21857.5,15340,6517.5
Baleshwar-Laxmannath Road Project,162,Substantial Expansion,3018,Completed,"Engineering, Procurement & Construction",May-07,Odisha,01-Jan-01,01/04/07,3018,2580,438
Baletiya village-Nani Bhadol village Eight Lane Access-Controlled Expressway Project (Package 30 of Delhi-Mumbai Expressway),1634,Substantial Expansion,11853.3,Under Implementation,"Engineering, Procurement & Construction",Sep-23,Gujarat,31-Mar-98,07/12/22,11853.3,9263.8,2589.5
Balongi-Khanpur Flyover Project (Mohali-Kharar),1194,New Unit,4480,Completed,,Feb-21,Punjab,01-Apr-15,01/01/18,4480,3680,800
Balotra (Siwana)-Mokalsar (NH-325) Highway Project (Package-I) (Jalore-Badmer-Sirohi),1269,Substantial Expansion,1312.8,Completed,"Engineering, Procurement & Construction",Sep-20,Rajasthan,06-Sep-15,14/09/20,1312.8,1564.3,-251.5
Balwara-Dhangaon (NH-347 BG) Four Lane Highway Project (Indore-Edlabad Package III) (Bharatmala),1852,Substantial Expansion,10020,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,27-Jul-16,16/09/21,10020,7746.8,2273.2
Bamitha-Khajuraho (NH-339B) Four Lane Highway Project,1435,Substantial Expansion,720,Under Implementation,"Engineering, Procurement & Construction",Oct-23,Madhya Pradesh,26-Dec-17,29/10/22,720,1023.2,-303.2
Bamni-Rajura-Warur-Devada MH/TG Border Four Lane Road (NH-930D) Project,1987,Substantial Expansion,10670.6,Under Implementation,Hybrid Annuity,,Maharashtra,01-Apr-20,18/02/22,10670.6,10670.6,0
Bangalore Satellite Town Six Lane Ring Road (STRR) Project (Bharatmala),1610,New Unit,150000,Under Implementation,Hybrid Annuity,Mar-24,Tamil Nadu,01-Apr-05,19/03/23,150000,100000,50000
Bangalore-Chennai-Chitradurga Expressway Project (Bharatmala),508,New Unit,148700,Under Implementation,Hybrid Annuity,Dec-24,Karnataka,01-Dec-08,24/05/22,148700,40000,108700
Bangalore-Hoskote-Mulbagal (NH-4) Highway Project,395,New Unit,10700,Completed,Build Operate Transfer,Jun-11,Karnataka,31-Mar-05,30/04/11,10700,5650,5050
Bangalore-Hosur (NH-7) Six Laning Highway Project,408,New Unit,1138.4,Completed,Build Operate Transfer,Apr-10,Karnataka,31-Mar-05,28/02/10,1138.4,4500,-3361.6
Bangalore-Nelamangala (NH-4) Highway Project,397,Substantial Expansion,8034,Completed,Build Operate Transfer Toll,Dec-10,Karnataka,31-Mar-05,31/08/10,8034,4000,4034
Bangalore-Salem-Madurai (NS-27/TN) Highway Project,54,New Unit,214,Completed,"Engineering, Procurement & Construction",Apr-04,Karnataka,01-Mar-99,01/01/02,214,300,-86
Bani village to Bardawadi village of Mandsaur Eight Lane Carriageway Project (Package 19 of Delhi-Mumbai Expressway),1572,Substantial Expansion,8400,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,31-Mar-98,29/07/21,8400,8806.2,-406.2
Banjhula (Chakia)-Shivhar-Bairgania (NH-227F) Two Laning Highway project (Bharatmala),1653,Substantial Expansion,10000,Under Implementation,"Engineering, Procurement & Construction",,Bihar,01-Mar-04,25/05/18,10000,10000,0
Bankhandi-Jhalera (NH-503A) Highway Project,1832,Substantial Expansion,250,No Information,,,Himachal Pradesh,01-Jul-14,09/06/20,250,175,75
Banwara-Bettadahalli (NH-206) Four Lane Highway Project (section of Tumkur-Shimoga Package-3) (Bharatmala),1788,Substantial Expansion,7549,Under Implementation,Hybrid Annuity,Feb-24,Karnataka,06-Mar-14,14/11/21,7549,9403.8,-1854.8
Baonli-Jhalai Road to Start of RoB near village Itawa Eight Lane Carriageway Project (Package 9 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1559,Substantial Expansion,8081.1,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,28/09/18,8081.1,8081.1,0
Bar-Bilara-Jodhpur (NH-112) (New NH-25) Four Lane Highway Project,1155,Substantial Expansion,8951.8,Completed,"Engineering, Procurement & Construction",May-23,Rajasthan,31-Mar-09,11/02/16,8951.8,4000,4951.8
Barabanki-Bahraich (NH-28C) Highway Widening Project,945,Substantial Expansion,6960.5,Completed,"Engineering, Procurement & Construction",Mar-19,Uttar Pradesh,21-Oct-09,10/06/16,6960.5,6010.5,950
Barachatti-Gorhar (GTRIP/V-B) Highway Project,158,New Unit,4527.1,Completed,"Engineering, Procurement & Construction",Jul-07,Bihar,01-Jun-01,01/01/02,4527.1,3200,1327.1
Baramati-Indapur Four Lane Highway (NH-965G) (Package-II of Sant Tukaram Maharaj Palkhi Marg) Project,1897,Substantial Expansion,14710,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,01-Mar-18,08/11/21,14710,8068.7,6641.3
Barasat-Krishnanagar (NH-34) Four-Laning Highway Project (Bharatmala),1399,Substantial Expansion,26000,Under Implementation,Build Operate Transfer,,West Bengal,01-Oct-09,28/11/17,26000,8670,17330
Barasat-Raiganj (NH-34) Highway Project,239,Renovation & Modernisation,10857,No Information,,,West Bengal,01-Dec-02,01/12/02,10857,10857,0
Bardawadi village of Mandsaur to Kamliya village of Ratlam Eight Lane Carriageway Project (Package 20 of Delhi-Mumbai Expressway),1573,Substantial Expansion,7440,Completed,"Engineering, Procurement & Construction",Apr-23,Madhya Pradesh,31-Mar-98,17/03/22,7440,7366.7,73.3
Bareily-Sitapur (NH-24) Four-Laning Highway Project,1701,Substantial Expansion,26010,Under Implementation,Design Build Finance Operate Transfer,,Uttar Pradesh,30-Apr-09,31/01/18,26010,10460,15550
Barhi-Hazaribagh (NH-33) Four-Laning Highway Project,1090,Substantial Expansion,5000,Completed,"Engineering, Procurement & Construction",Feb-21,Jharkhand,30-Dec-09,13/06/20,5000,4143.4,856.6
Barhi-Koderma (NH-31) Four Laning Highway Project,1239,Substantial Expansion,6657.5,Under Implementation,"Engineering, Procurement & Construction",Jun-23,Jharkhand,01-Dec-15,21/12/22,6657.5,2823.8,3833.7
Barhi-Rajauli (NH-31) Four Laning Highway Project,1251,New Unit,4520,Under Implementation,,,Jharkhand,01-Apr-08,06/09/16,4520,5180,-660
Barmer-Sanchore-Gujarat Border (upto Gandhav Bridge) (NH-15) Two/Four Lane Highway Project,1025,Substantial Expansion,5380.8,Completed,"Engineering, Procurement & Construction",Jan-19,Rajasthan,15-Jan-14,09/01/15,5380.8,3745.1,1635.7
Barwa-Adda--Barakar Highway Project,160,Substantial Expansion,1200,Completed,"Engineering, Procurement & Construction",Dec-01,West Bengal,01-Jan-99,01/01/99,1200,1200,0
Basanwahi-Marangpuri Six Lane Highway (Package CG3) (NH-130CD) Project (Section of Raipur-Visakhapatnam Economic Corridor),1947,Substantial Expansion,11273.3,Under Implementation,Hybrid Annuity,,Chhattisgarh,01-Jul-19,12/01/22,11273.3,11273.3,0
Basukinath-Jarmundi-Deoghar (NH-114A) Four Lane Highway Project,1311,Substantial Expansion,14000,Under Implementation,Hybrid Annuity,,Jharkhand,13-Jun-17,11/03/18,14000,14000,0
Bata-Rehukaldhar (Tunnel) (NH-21) Highway Project (Package-III of Nerchowk-Kullu stretch),1045,Substantial Expansion,3774.3,Under Implementation,Hybrid Annuity,,Himachal Pradesh,01-Nov-14,03/12/14,3774.3,3774.3,0
Bathinda-Malout intersection (NH-7) Four Lane Highway Project,1771,Substantial Expansion,4538.3,Completed,"Engineering, Procurement & Construction",Apr-22,Punjab,31-Jan-19,31/12/19,4538.3,4397.1,141.2
Bawadi village (Shivgarh)-Ranni Village Eight Lane Carriageway Project (Package 23 of Delhi-Vadodara Expressway (Delhi-Mumbai Expressway) (Bharatmala),1600,Substantial Expansion,10470,Completed,"Engineering, Procurement & Construction",Feb-23,Madhya Pradesh,31-Mar-98,17/03/22,10470,11398.9,-928.9
