,COMPANY,COMPANY_CODE,PROJECT_NAME,PROJECT_NUMBER,ASSOCIATE_TYPE,ASSOCIATE_COMPANY(AC),AC_CODE,AC_COUNTRY,AC_ADDRESS,AC_PINCODE,AC_CITY,AC_STATE,AC_TEL_NO,AC_FAX,AC_EMAIL,AC_WEBSITE
23640,National Highways Authority Of India,155597,Agra Six Lane Bypass (Northern) connecting NH-19 to Yamuna Expressway Six Lane Project,2003,Contractor,Velji Ratna Sorathia Infra Pvt. Ltd.,521163,India,"Registered Office:A-401, Kalpvrux Complex, Gotri Road,",390021,Vadodara,Gujarat,91-265-2320970,,mail@vrs.co.in,www.vrs.co.in
23641,National Highways Authority Of India,155597,Agra-Gwalior (NS/4) Four Lane Highway Project,189,Turnkey contractor,P N C Construction Pvt. Ltd.,167138,India,,NA,,,,,,
23642,National Highways Authority Of India,155597,Agra-Jalesar-Etah (NH-321-G) Two/Four Lane Highway Improvement & Upgradation Project,1649,Consultant,L N Malviya Infra Projects Pvt. Ltd.,512280,India,"Registered Office:Plot No. 1, City Centre, T-10, 3rd Floor, M P Nagar, Zone I, Press Complex,",462011,Bhopal,Madhya Pradesh,91-755-4295421,91-755-4295421,hec_bhopal@rediffmail.com,www.lninfra.com
23643,National Highways Authority Of India,155597,Agra-Shikohabad (GTRIP/I-A) Road Project,145,Consultant,I C T Pvt. Ltd.,284672,India,"Registered Office:A - 8 & A - 9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252, info@ictonline.com,www.ictonline.com
23644,National Highways Authority Of India,155597,Agra-Shikohabad (GTRIP/I-A) Road Project,145,Contractor,Gammon India Ltd.,78250,India,"Head Office:Gammon House, Veer Savarkar Marg, Prabhadevi,",400025,Mumbai,Maharashtra,91-22-61153000,91-22-24300221,gammon@gammonindia.com,www.gammonindia.com
23645,National Highways Authority Of India,155597,Agra-Shikohabad (GTRIP/I-A) Road Project,145,Contractor,Oriental Structural Engineers Pvt. Ltd.,165003,India,"Registered Office:Ose Commercial Block, Hotel Aloft, Asset 5B, Aerocity, Hospitality District, I G I  Airport,",110037,New Delhi,NCT of Delhi,91-11-46044604,,info@orientalindia.com,www.orientalindia.com
23646,National Highways Authority Of India,155597,Agra-Sikandara Highway Project,146,Consultant,I C T Pvt. Ltd.,284672,India,"Registered Office:A - 8 & A - 9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252, info@ictonline.com,www.ictonline.com
23647,National Highways Authority Of India,155597,Agra-Sikandara Highway Project,146,Turnkey contractor,China Coal Ltd.,284671,China,,NA,,,,,,
23648,National Highways Authority Of India,155597,Ahmadabad-Dandi Heritage Route Project,470,Promoter,Government Of India,84845,India,"Registered Office:3rd Floor, National Informatics Centre, A-Block, CGO Complex, Lodhi Road,",110003,Central Delhi,NCT of Delhi,,,indiaportal@gov.in,www.india.gov.in
23649,National Highways Authority Of India,155597,Ahmednagar Four Lane Bypass Project,1420,Consultant,Dhruv Consultancy Services Ltd.,511448,India,"Registered Office:501, Pujit Plaza, Palm Beach Road, Sector-11, Opp. K Star Hotel, Near CBD Station, CBD Belapur,",400614,Navi Mumbai,Maharashtra,91-22-27570710,91-22-27570710,cs@dhruvconsultancy.in,www.dhruvconsultancy.in
23650,National Highways Authority Of India,155597,Ahmednagar Four Lane Bypass Project,1420,Consultant,Infinite Civil Solutions Pvt. Ltd.,594436,India,,NA,,,,,,
23651,National Highways Authority Of India,155597,Ahmednagar Four Lane Bypass Project,1420,Consultant,Arkitechno Consultants (india) Pvt. Ltd.,609224,India,"Registered Office:N - 3/91, Village Nayapally,",751015,Bhubaneswar,Odisha,91-674-2554205,,accounts@arkitechno.com,www.arkitechno.com
23652,National Highways Authority Of India,155597,Ahmednagar Four Lane Bypass Project,1420,Contractor,G H V (india) Pvt. Ltd.,394926,India,"Registered Office:1st Floor, Aml Center 1, 8 Maha Kali Caves Road, Andheri East,",400093,Mumbai,Maharashtra,91-22-67250014,,info@ghvgroup.com,www.ghvgroup.com
23653,National Highways Authority Of India,155597,Akola City (NH-53) Flyovers Project,1450,Contractor,Jandu Construction Co.,585722,India,,NA,,,,,,
23654,National Highways Authority Of India,155597,Akola City (NH-53) Flyovers Project,1450,Contractor,Ram Kumar Contractor Pvt. Ltd.,592472,India,"Registered Office:Plot No 835, Sector 4, Urban Estate Panchkula,",134112,Panchkula,Haryana,,,RNJAIN_CA@YAHOO.COM,
23655,National Highways Authority Of India,155597,Akola City (NH-6) Bypass Project,31,Contractor,Rani Constructions Pvt. Ltd.,193772,India,"Registered Office:407, Shiv Towers, 4th Floor, Patto Plaza, Panaji,",403001,Goa,Goa,91-832-2438092,,,
23656,National Highways Authority Of India,155597,Akola-Medshi (NH-161) Four Lane Highway Project,1814,Contractor,Montecarlo Ltd.,148976,India,"Corporate Office:Montecarlo House,Sindhu Bhavan Road, Bodakdev,",380058,Ahmedabad,Gujarat,91-79-26409333,91-79-26408444,mail@mclindia.com,www.mclindia.com
23657,National Highways Authority Of India,155597,Alappuzha Bypass Project,782,Co-promoter,Kerala Public Works Department,426356,India,"Registered Office:PWD Road & Bridges & Administration, Public Office, Museum P.O.,",695033,Thiruvananthapuram,Kerala,91-471-2322346,,ceroads@pwd.kerala.gov.in,www.keralapwd.gov.in
23658,National Highways Authority Of India,155597,Alappuzha Bypass Project,782,Contractor,R D S Project Ltd.,185799,India,"Registered Office:427, Somdutt Chambers-II, 9, Bhikaji Cama Place,",110066,New Delhi,NCT of Delhi,91-11-26170242,91-11-26168092,agra@rdsproject.com,www.rdsproject.com
23659,National Highways Authority Of India,155597,Alawalpur Chowk to Agra Chowk (NH-19) Elevated Corridor Project,1264,Contractor,Cube Highways & Infrastructure Pte. Ltd.,529547,Singapore,,NA,,,,,,
23660,National Highways Authority Of India,155597,Aligarh-Kanpur (NH-91) Four/Six Laning Highway Project (Bharatmala),1040,Consultant,Sai Consulting Engineers Pvt. Ltd.,380312,India,"Registered Office:Sai House, Block-A, Satyam Corporate Square, B/h Rajpath Club, Opp. Kishan Bunglows, Bodakdev,",380054,Ahmedabad,Gujarat,91-79-66142600,91-79-66142800,mail@saiindia.com,www.saiindia.com
23661,National Highways Authority Of India,155597,Aligarh-Kanpur (NH-91) Four/Six Laning Highway Project (Bharatmala),1040,Contractor,G R Infraprojects Ltd.,380699,India,"Corporate Office:2nd Floor, Novus Tower, Plot No. 18, Sector 18,",122015,Gurgaon,Haryana,91-124-6435000,,cs@grinfra.com,www.grinfra.com
23662,National Highways Authority Of India,155597,Aligarh-Kanpur (NH-91) Four/Six Laning Highway Project (Bharatmala),1040,Contractor,Apco Infratech Pvt. Ltd.,384948,India,"Registered Office:B-9, Vibhuti Khand, Gomati Nagar,",226010,Lucknow,Uttar Pradesh,91-522-4036111,91-522-4036100,admin@apcoinfra.com,www.apcoinfra.com
23663,National Highways Authority Of India,155597,Aligarh-Kanpur (NH-91) Four/Six Laning Highway Project (Bharatmala),1040,Contractor,Brij Gopal Construction Co. Pvt. Ltd.,408202,India,"Registered Office:A-7/2, Shivaji Apptt., Sector-14, Rohini,",110085,Delhi,NCT of Delhi,91-11-25818656,,raman010@yahoo.com,
23664,National Highways Authority Of India,155597,Aligarh-Moradabad (NH-93) (New NH-509) Two Laning Road Project,818,Contractor,P N C Infratech Ltd.,296258,India,"Corporate Office:P N C Tower, 3/22-D, Civil Lines, Agra Delhi Bypass Road, National Highway 2,",282005,Agra,Uttar Pradesh,91-562-4054400,91-562-4070011,complianceofficer@pncinfratech.com,www.pncinfratech.com
23665,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-I Highway Project,151,Contractor,Larsen & Toubro Ltd.,127106,India,"Head Office:L & T House, Ballard Estate,  Post Box 278,",400001,Mumbai,Maharashtra,91-22-67525656,91-22-23420814,Nehal.Shah@larsentoubro.com,www.larsentoubro.com
23666,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-I Highway Project,151,Supervision consultant,Lea Associates South Asia Pvt. Ltd.,127666,India,"Registered Office:B 1/E-27, 2nd Floor, Mohan Co-, Operative Industrial Estate, Mathura Road,",110044,New Delhi,NCT of Delhi,91-11-41678150,91-11-41678659,cs@sigmalegal.in,www.lasaindia.com
23667,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-II Project,721,Consultant,Lea Associates South Asia Pvt. Ltd.,127666,India,"Registered Office:B 1/E-27, 2nd Floor, Mohan Co-, Operative Industrial Estate, Mathura Road,",110044,New Delhi,NCT of Delhi,91-11-41678150,91-11-41678659,cs@sigmalegal.in,www.lasaindia.com
23668,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-II Project,721,Contractor,Hindustan Construction Co. Ltd.,93997,India,"Registered Office:Hincon House, 11th Floor, 247 Park, L B S Marg, Vikhroli (West),",400083,Mumbai,Maharashtra,91-22-25751000,91-22-25777568,secretarial@hccindia.com,www.hccindia.com
23669,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-III Project,722,Consultant,Lea Associates South Asia Pvt. Ltd.,127666,India,"Registered Office:B 1/E-27, 2nd Floor, Mohan Co-, Operative Industrial Estate, Mathura Road,",110044,New Delhi,NCT of Delhi,91-11-41678150,91-11-41678659,cs@sigmalegal.in,www.lasaindia.com
23670,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-III Project,722,Contractor,K M C Constructions Ltd.,112439,India,"Corporate Office:Plot No 85, Road No 72, Prashasan Nagar, Jubilee Hills,",500033,Hyderabad,Telangana,91-40-23558061,91-40-23558060,,www.kmcgroup.co.in
23671,National Highways Authority Of India,155597,Allahabad Bypass (NH-2) Contract-III Project,722,Contractor,Oriental Structural Engineers Pvt. Ltd.,165003,India,"Registered Office:Ose Commercial Block, Hotel Aloft, Asset 5B, Aerocity, Hospitality District, I G I  Airport,",110037,New Delhi,NCT of Delhi,91-11-46044604,,info@orientalindia.com,www.orientalindia.com
23672,National Highways Authority Of India,155597,Aluva-Angamali(NS-28/KL) NH47 Highway Project,164,Consultant,Sai Consulting Engineers Pvt. Ltd.,380312,India,"Registered Office:Sai House, Block-A, Satyam Corporate Square, B/h Rajpath Club, Opp. Kishan Bunglows, Bodakdev,",380054,Ahmedabad,Gujarat,91-79-66142600,91-79-66142800,mail@saiindia.com,www.saiindia.com
23673,National Highways Authority Of India,155597,Aluva-Angamali(NS-28/KL) NH47 Highway Project,164,Contractor,Tantia Constructions Ltd.,247502,India,"Corporate Office:DD-30, Sector-1, Salt Lake City,",700064,Kolkata,West Bengal,91-33-40190000,91-33-40190001,info@tantiagroup.com,www.tantiagroup.com
23674,National Highways Authority Of India,155597,Aluva-Angamali(NS-28/KL) NH47 Highway Project,164,Contractor,Techni Bharathi Pvt. Ltd.,248600,India,"Head Office:'Florance', No. 34/136-A, Bye-pass Road, Edappally,",682024,Kochi,Kerala,91-484-2344906,91-484-2344908,tsind@tsind.com,
23675,National Highways Authority Of India,155597,Amas-Shiwrampur Four Lane Highway (Package-I of Amas-Darbhanga Expressway) Project,1891,Consultant,S A Infrastructure Consultants Pvt. Ltd.,537251,India,"Registered Office:B-4/8, Glaxo Apartments, Mayur Vihar, Phase-I,",110091,New Delhi,NCT of Delhi,91-120-6148000,,fidele.sra@gmail.com,www.sainfra.com
23676,National Highways Authority Of India,155597,Amas-Shiwrampur Four Lane Highway (Package-I of Amas-Darbhanga Expressway) Project,1891,Contractor,Megha Engineering & Infrastructures Ltd.,379812,India,"Head Office:S-2, Technocrat Industrial Estate, Balanagar,",500037,Hyderabad,Telangana,91-40-44336700,91-40-44336800,info@meil.in,www.meil.in
23677,National Highways Authority Of India,155597,Ambala Four Lane Ring Road (NH-44) (Connecting Five NH) Project,1825,Consultant,Lion Engineering Consultants,551358,India,"Registered Office:Plot No. 97, Lion Tower, Near Mother Teresa School, Kolar Road,",462042,Bhopal,Madhya Pradesh,91-755-2879496,91-755-2879499,info@liongroup.in,www.lionengineering.in
23678,National Highways Authority Of India,155597,Ambala Four Lane Ring Road (NH-44) (Connecting Five NH) Project,1825,Contractor,Ram Kumar Contractor Pvt. Ltd.,592472,India,"Registered Office:Plot No 835, Sector 4, Urban Estate Panchkula,",134112,Panchkula,Haryana,,,RNJAIN_CA@YAHOO.COM,
23679,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-I),612,Consultant,Meinhardt (singapore) Pte Ltd.,286809,Singapore,"Registered Office:A - 8, Sector 16, Gautam Buddha Nagar,",201301,Noida,Uttar Pradesh,91-120-2516165,91-120-2515745,rajesh@meinhardtindia.com,www.meinhardtgroup.com
23680,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-I),612,Contractor,Dilip Buildcon Ltd.,386908,India,"Corporate Office:E-5/99, Arera Colony,",462016,Bhopal,Madhya Pradesh,91-755-2461064,91-755-4247574,contactus@dbl.co.in,www.dilipbuildcon.com
23681,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-I),612,Contractor,Varaha Infra Ltd.,401326,India,"Registered Office:Umesh Smariti, No.6, Jalam Vilas Scheme,  Paota B Road,",342024,Jodhpur,Rajasthan,91-291-2556877,91-291-2553861,jp@varahinfra.com,www.varahainfra.com
23682,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-II),1011,Consultant,Meinhardt (singapore) Pte Ltd.,286809,Singapore,"Registered Office:A - 8, Sector 16, Gautam Buddha Nagar,",201301,Noida,Uttar Pradesh,91-120-2516165,91-120-2515745,rajesh@meinhardtindia.com,www.meinhardtgroup.com
23683,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-II),1011,Consultant,Antea India Pvt. Ltd.,407588,India,"Registered Office:Unit No. 404, 4th Floor, IRIS Tech Park, Sector 48, Sohna Road,",122001,Gurgaon,Haryana,91-124-4518800,91-124-4518832,ajaysingh@unihornidia.com,www.unihornindia.com
23684,National Highways Authority Of India,155597,Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-II),1011,Contractor,Sadbhav Engineering Ltd.,206660,India,"Head Office:'Sadbhav House', Opp. Law Garden Police Chowki, Ellisbridge,",380006,Ahmedabad,Gujarat,"91-79-26463384,26460047",91-79-26400210,sadbhavad1@sancharnet.in,www.sadbhaveng.com
23685,National Highways Authority Of India,155597,Ambala-Kala Amb section of NH-72 to Shahzadpur and Part of New NH-7 from Shahzadpur to Kala Amb Four Lane Highway Project,2089,Contractor,D C C Infra Projects Ltd.,658629,India,,NA,,,,,,
23686,National Highways Authority Of India,155597,Ambala-Zirakpur (NH-21 & 22) Highway Project,767,Contractor,G M R Airports Infrastructure Ltd.,76718,India,"Corporate Office:Skip House, 25/1, Museum Road,",560025,Bengaluru,Karnataka,91-80-2279949,91-80-2998118,,www.gmrgroup.in
23687,National Highways Authority Of India,155597,Ambala-Zirakpur (NH-21 & 22) Highway Project,767,Contractor,G M R Energy Ltd.,247422,India,"Registered Office:701, 7th Floor, Naman Centre, Plot No. C-31, Bandra Kurla Complex, Bandra East,",400051,Mumbai,Maharashtra,91-11-49882200,91-11-49882227,energy-secretarial@gmrgroup.in,www.gmrgroup.in
23688,National Highways Authority Of India,155597,Ambience Mall & DLF Phase 2 (NH-48) Elevated U-Turns Project,1539,Contractor,Ram Kumar Contractor Pvt. Ltd.,592472,India,"Registered Office:Plot No 835, Sector 4, Urban Estate Panchkula,",134112,Panchkula,Haryana,,,RNJAIN_CA@YAHOO.COM,
23689,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Co-promoter,City & Industrial Devp. Corpn. Of Maharashtra Ltd.,48094,India,"Corporate Office:Udyog Bhavan, Next To LIC Building, CIDCO, Jalgaon Road,",431003,Aurangabad (MAH),Maharashtra,91-240-2485321,91-240-2485324,info@cidco.maharashtra.gov.in,www.cidconewtowns.gov.in
23690,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Co-promoter,Jawaharlal Nehru Port Trust,108007,India,"Corporate Office:Jawaharlal Nehru Port Turst, 1107, Raheja Centre, F P J Marg, Nariman Point,",400021,Mumbai,Maharashtra,91-22-66165600,91-22-67431116,,www.jnport.gov.in
23691,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Consultant,Stup Consultants Pvt. Ltd.,237364,India,"Registered Office:Unit No. 2702, 27th Floor, Rupa Renaissance, Plot D-33, D-207, Juinagar, MIDC TTC Industrial Area,",400705,Mumbai,Maharashtra,,,mumbai@stupmail.com,www.stupco.com
23692,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Contractor,Ashoka Buildcon Ltd.,22247,India,"Registered Office:S No.861, Ashoka House, Ashoka Marg, Ashoka Nagar,",422011,Nashik,Maharashtra,91-253-6633705,91-253-2236704,investors@ashokabuildcon.com,www.ashokabuildcon.com
23693,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Contractor,J Kumar Infraprojects Ltd.,104004,India,"Corporate Office:CTS No. 448, 448/1, 449, Subhash Road, Vile Parle East,",400057,Mumbai,Maharashtra,91-22-68717900,,info@jkumar.com,www.jkumar.com
23694,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Contractor,Thakur Infra Projects Pvt. Ltd.,407339,India,"Registered Office:House No 1221, At & Po : Jasai, Jasai Naka, Taluka Uran, Navi Mumbai, Raigad,",NA,Navi Mumbai,Maharashtra,,,thakurinfraprojects@gmail.com,
23695,National Highways Authority Of India,155597,Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),1238,Contractor,J M Mhatre Infra Pvt. Ltd.,451830,India,"Registered Office:Plot No 492, Market Yard,",410206,Panvel,Maharashtra,91-22-27451625,91-22-27460537,admin@jmminfra.com,www.jmminfra.com
23696,National Highways Authority Of India,155597,Amravati Bypass Highway Project,13,Consultant,Consulting Engineering Services (india) Pvt. Ltd.,50581,India,"Registered Office:2nd Floor, Platinum Tower, Plot No. 184, Udyog Vihar, Phase- 1,",122016,Gurgaon,Haryana,91-124-3317000,91-124-3372999,Bajrang.prasad@jacobs.com,
23697,National Highways Authority Of India,155597,Amravati Bypass Highway Project,13,Contractor,K N R Constructions Ltd.,112667,India,"Corporate Office:KNR House, 3rd & 4th Floors, Plot No.114, Phase-I, Kavuri Hills,",500033,Hyderabad,Telangana,91-40-40268759,91-40-40268760,investors@knrcl.com,www.knrcl.com
23698,National Highways Authority Of India,155597,Amravati Bypass Highway Project,13,Contractor,N C C Ltd.,153366,India,"Corporate Office:Nagarjuna Hills,",500082,Hyderabad,Telangana,91-40-23351753,91-40-23350214,nccho@ncc-ltd.com,www.ncclimited.com
23699,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Consultant,Consulting Engineers Group Ltd.,328249,India,"Registered Office:7th Floor, B-11(G), Industrial Area, Malviya Nagar,",302017,Jaipur,Rajasthan,91-141-2751801,91-141-2751806,accounts@cegindia.com,www.cegindia.com
23700,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Consultant,Louis Berger Consulting Pvt. Ltd.,406754,India,"Registered Office:Regus Business Centre, Level-3, Vasant Square Mall Pocket V, Sector B,",110070,New Delhi,NCT of Delhi,,,neeraj.kumar2@wsp.com,www.wsp.com
23701,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Contractor,Montecarlo Ltd.,148976,India,"Corporate Office:Montecarlo House,Sindhu Bhavan Road, Bodakdev,",380058,Ahmedabad,Gujarat,91-79-26409333,91-79-26408444,mail@mclindia.com,www.mclindia.com
23702,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Contractor,Raj Path Infracon Pvt. Ltd.,190016,India,"Registered Office:Office No. 403, 4th Floor, Pride House, 108, Ganesh Khind Road,Opp Pune University,",411016,Pune,Maharashtra,91-20-25636060,91-20-25633344,raj@rajgrouppune.net,
23703,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Contractor,Kalyan Toll Infrastructure Ltd.,386962,India,"Registered Office:Vidhya Deep, 15/3 Manorama Ganj,",452001,Indore,Madhya Pradesh,91-731-2496931,91-731-4096457,accounts@kalyangroup.in,www.kalyangroup.in
23704,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Contractor,Eagle Infra Pvt. Ltd.,575135,India,,NA,,,,,,
23705,National Highways Authority Of India,155597,Amravati-Chikli (NH-6 or New NH-53) Four Laning Highway Project,1859,Promoter,National Highways Authority Of India,155597,India,"Head Office:Plot No. G-5 & 6, Sector-10, Dwarka,",110075,New Delhi,NCT of Delhi,91-11-25074100,91-11-25093507,nhaiweb@nhai.org,www.nhai.gov.in
23706,National Highways Authority Of India,155597,Amritsar Bypass (NH-354) Project (Package-III),2017,Contractor,K R C Infraprojects Pvt. Ltd.,514791,India,"Registered Office:101, K R Chambers, Rasulpur Road,",121102,Palwal,Haryana,91-1275-247999,,info@krcinfraprojects.com,www.krcinfraprojects.com
23707,National Highways Authority Of India,155597,Amritsar Bypass (NH-354) Project (Package-III),2017,Contractor,S K S Infra Projects Pvt. Ltd.,595556,India,"Registered Office:1/115-A/2, Babu Gulab Rai Marg Delhi Gate,",282002,Agra,Uttar Pradesh,,,sksharma.skcc@gmail.com,
23708,National Highways Authority Of India,155597,Amritsar Bypass Improvement (NH-1) Project,1146,Consultant,Antea India Pvt. Ltd.,407588,India,"Registered Office:Unit No. 404, 4th Floor, IRIS Tech Park, Sector 48, Sohna Road,",122001,Gurgaon,Haryana,91-124-4518800,91-124-4518832,ajaysingh@unihornidia.com,www.unihornindia.com
23709,National Highways Authority Of India,155597,Amritsar Bypass Improvement (NH-1) Project,1146,Contractor,Varaha Infra Ltd.,401326,India,"Registered Office:Umesh Smariti, No.6, Jalam Vilas Scheme,  Paota B Road,",342024,Jodhpur,Rajasthan,91-291-2556877,91-291-2553861,jp@varahinfra.com,www.varahainfra.com
